Source,Target,RelationType,ConfidenceLevel,ReferenceSummary,SourceURL
T,VZ,Competitor,High,AT&T and Verizon are fierce rivals in the saturated U.S. wireless market​reuters.com.,https://www.reuters.com/business/media-telecom/att-exceeds-wireless-subscriber-estimates-demand-pricey-unlimited-plans-2024-10-23/
JPM,BAC,Competitor,High,JPMorgan Chase and Bank of America are both “Big Four” US banks and primary competitors in banking​investopedia.com.,https://www.investopedia.com/articles/markets/090915/who-are-bank-americas-main-competitors.asp
JPM,GS,Competitor,High,"JPMorgan and Goldman Sachs compete for Wall Street deals and clients, as two leading investment banks​marketing91.com.",https://www.forbes.com/sites/luisromero/2021/02/17/goldman-sachs-and-morgan-stanley-which-bank-is-the-better-bet/
GS,MS,Competitor,High,Goldman Sachs and Morgan Stanley have a long-standing rivalry as top investment banks with differing business models​investopedia.com.,https://www.investopedia.com/insights/goldman-sachs-vs-morgan-stanley-comparing-business-models/
WFC,JPM,Competitor,High,Wells Fargo competes with JPMorgan Chase (and other majors) across consumer and commercial banking services​investopedia.com.,https://www.investopedia.com/articles/markets/090915/who-are-bank-americas-main-competitors.asp
V,MA,Competitor,High,"Visa and MasterCard form a near-duopoly in payments, a dominance often scrutinized by regulators​reuters.com.",https://www.reuters.com/business/finance/visa-falls-report-us-doj-lawsuit-alleging-debit-card-monopoly-2024-09-24/
JNJ,PFE,Competitor,High,Johnson & Johnson and Pfizer are both pharma giants and key competitors in the industry (Pfizer’s largest competitor is J&J)​investopedia.com.,https://www.investopedia.com/ask/answers/052015/who-are-pfizers-pfe-main-competitors.asp
PFE,MRK,Competitor,High,Pfizer and Merck & Co. are major pharmaceutical rivals across multiple therapeutic areas​investopedia.com.,https://www.investopedia.com/ask/answers/052015/who-are-pfizers-pfe-main-competitors.asp
UNH,CVS,Competitor,High,"UnitedHealth Group and CVS Health (via its Aetna unit) are Goliath vs Goliath in healthcare, each expanding into the other’s territory​startribune.com​startribune.com.",https://www.startribune.com/unitedhealth-and-cvs-the-unexpected-goliath-vs-goliath-battle/600241535/
CVS,WBA,Competitor,High,"CVS and Walgreens Boots Alliance are archrivals, often literally operating stores next door to each other as they vie for U.S. pharmacy market share​npr.org.",https://www.npr.org/2023/10/18/1206750386/walgreens-cvs-pharmacy-closures-layoffs
AMZN,WMT,Competitor,High,"Amazon and Walmart are battling for retail leadership, with Walmart “aiming to take on Amazon” in e-commerce and advertising​reuters.com.",https://www.reuters.com/business/retail-consumer/how-pandemic-helped-walmart-battle-amazon-marketplace-sellers-2021-04-14/
WMT,TGT,Competitor,High,"Walmart and Target are both major U.S. retailers, and Walmart is a significant competitor to Target, offering similar products and services​businessmodelanalyst.com.",https://businessmodelanalyst.com/target-competitors-alternatives/
WMT,COST,Competitor,High,Walmart (via its Sam’s Club division) is one of Costco’s leading competitors in the membership warehouse club segment​businessmodelanalyst.com.,https://businessmodelanalyst.com/costco-competitors-alternatives/
HD,LOW,Competitor,High,"Home Depot and Lowe’s effectively form a home improvement duopoly, “competing for the same customers” in that market​investopedia.com.",https://www.investopedia.com/articles/investing/052914/home-depot-vs-lowes.asp
TSLA,GM,Competitor,High,"Tesla remains the largest EV player (~44% US share) while General Motors, at ~12%, is the second-largest – highlighting their EV market competition​finance.yahoo.com.",https://finance.yahoo.com/news/tesla-faces-challenges-gm-gains-ground-120046049.html
TSLA,F,Competitor,High,"Tesla’s dominance in electric vehicles is challenged by Ford, which is fighting for second place in US EV sales alongside GM and others​caredge.com.",https://caredge.com/blog/electric-vehicle-market-share-US
KO,PEP,Competitor,High,"Coca-Cola and PepsiCo are arch-rivals in the global soda market, with Coke recently gaining market share over its “arch rival” Pepsi​reuters.com.",https://www.reuters.com/article/cocacola-results-idUSKBN1X91XL
FDX,UPS,Competitor,High,"FedEx and UPS are direct competitors in parcel delivery, with FedEx even losing a major USPS contract to “archrival UPS”​cbinsights.com.",https://www.cbinsights.com/research/fedex-lost-deal-ups/
BA,LMT,Competitor,High,"Boeing and Lockheed Martin often compete for defense contracts – e.g., Boeing just beat out Lockheed to win the Air Force’s next-gen fighter deal​reuters.com.",https://www.reuters.com/business/aerospace-defense/trump-awards-boeing-much-needed-win-with-fighter-jet-contract-sources-say-2025-03-21/
XOM,CVX,Competitor,High,ExxonMobil and Chevron have a long-standing rivalry as the two largest U.S. oil producers​energynow.com.,https://energynow.com/2023/09/exxon-and-chevron-offer-wall-street-opposing-visions/
PG,WMT,Supplier→Buyer,High,Procter & Gamble is a major supplier to Walmart – sales to Walmart account for about 15% of P&G’s total revenue​opportimes.com.,https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
AMD,MSFT,Supplier→Buyer,High,AMD supplies custom chips to Microsoft for products like the Xbox gaming console​forbes.com.,https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
AMD,AMZN,Supplier→Buyer,High,"Amazon’s AWS uses AMD’s EPYC processors for certain cloud computing instances, reflecting a supplier–buyer relationship​forbes.com.",https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
INTC,AAPL,Supplier→Buyer,High,Intel was a key chip supplier to Apple for years – Apple’s Mac computers used Intel processors until Apple’s recent shift to in-house chips​cnbc.com.,https://www.cnbc.com/2019/07/25/apple-spends-1-billion-to-buy-intels-smartphone-modem-business.html
NVDA,MSFT,Supplier→Buyer,High,Microsoft buys NVIDIA’s GPUs to power Azure’s AI and graphics workloads – a key supplier relationship in cloud computing​reuters.com.,https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
NVDA,AMZN,Supplier→Buyer,High,"Amazon Web Services offers cloud instances with NVIDIA GPUs, making NVIDIA a hardware supplier for Amazon’s cloud services​reuters.com.",https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
NVDA,META,Supplier→Buyer,High,Meta (Facebook) purchases NVIDIA’s GPU chips for AI training and data center tasks​reuters.com.,https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
INTC,AAPL,M&AInvolvement,High,"In 2019, Apple acquired Intel’s smartphone modem business for $1 billion, bringing thousands of Intel employees to Apple​cnbc.com.",https://www.cnbc.com/2019/07/25/apple-spends-1-billion-to-buy-intels-smartphone-modem-business.html
WMT,MSFT,StrategicPartner,High,"In 2020, Walmart teamed up with Microsoft in a joint bid to acquire TikTok’s US operations​npr.org.",https://www.npr.org/2020/08/27/906724560/walmart-joins-microsoft-in-a-bid-to-buy-tiktok
T,MSFT,StrategicPartner,High,AT&T agreed to run its 5G mobile network on Microsoft’s Azure cloud – a strategic alliance to move AT&T’s 5G core to Azure​about.att.com.,https://about.att.com/story/2021/att_microsoft_5g.html
VZ,AMZN,StrategicPartner,High,"Verizon and AWS have partnered to embed AWS Wavelength cloud servers at Verizon’s 5G network edge, enabling ultra-low-latency mobile applications​datacenterdynamics.com.",https://www.datacenterdynamics.com/en/news/aws-has-launched-new-wavelength-zones-in-chicago-houston-and-phoenix-on-verizons-5g-network/
MS,MSFT,StrategicPartner,High,Morgan Stanley entered a strategic cloud partnership with Microsoft Azure to accelerate the bank’s digital transformation​news.microsoft.com.,https://news.microsoft.com/2021/06/02/morgan-stanley-and-microsoft-collaborate-to-accelerate-cloud-transformation/
GS,AMZN,StrategicPartner,High,Goldman Sachs partnered with Amazon Web Services to launch a cloud-based financial data analytics platform for institutional clients​fintechfutures.com.,https://www.cnbc.com/2021/11/03/goldman-sachs-unveils-amazon-backed-cloud-service-for-wall-street-.html
AMT,T,Supplier→Buyer,High,"American Tower leases its cellular tower infrastructure to AT&T, making AT&T a major buyer (tenant) of American Tower’s services​s1.q4cdn.com.",https://s1.q4cdn.com/806093406/files/doc_financials/2023/ar/2023-Annual-Report.pdf
AMT,VZ,Supplier→Buyer,High,"Verizon is a key tenant of American Tower, which provides the cell tower space Verizon needs for its wireless network​s1.q4cdn.com.",https://s1.q4cdn.com/806093406/files/doc_financials/2023/ar/2023-Annual-Report.pdf
PLD,AMZN,Supplier→Buyer,High,"Prologis, a warehouse REIT, counts Amazon as its largest tenant, leasing distribution center space to support Amazon’s e-commerce operations​opportimes.com.",https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
PLD,FDX,Supplier→Buyer,Medium,"FedEx leases significant logistics and warehouse facilities from Prologis, which provides the industrial real estate for FedEx’s distribution hubs (as noted in industry reports)​opportimes.com.",https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
CAT,FCX,StrategicPartner,High,Caterpillar and Freeport-McMoRan formed a partnership to retrofit 33 haul trucks at Freeport’s Bagdad copper mine with autonomous driving technology​investors.caterpillar.com.,https://investors.caterpillar.com/news-releases/news-release-details/freeport-mcmoran-convert-fleet-catR-793-trucks-its-bagdad
CAT,NEM,StrategicPartner,High,"Newmont and Caterpillar announced a strategic alliance to develop and deploy zero-emission, automated mining equipment to Newmont’s operations​newmont.com.",https://www.newmont.com/newsroom/news-details/2021/Newmont-and-Caterpillar-Announce-Revolutionary-Strategic-Alliance-to-Achieve-Zero-Emissions-Mining/default.aspx
FDX,AMZN,FormerRelationship,High,"FedEx ended its U.S. Express and Ground delivery contracts with Amazon in 2019, formally ending their shipping partnership as Amazon built its own logistics network​supplychaindive.com.",https://www.supplychaindive.com/news/fedex-amazon-break-up-ecommerce-shipping/568183/
DIS,NFLX,FormerRelationship,High,Disney stopped licensing most of its films and content to Netflix starting in 2019 as it prepared to launch its own streaming service (Disney+)​cnn.com.,https://www.cnn.com/2019/10/04/media/disney-netflix-ads-ban/index.html
NEE,DUK,M&AInvolvement,Medium,"In 2020, NextEra Energy made a takeover approach to Duke Energy (then ~$60B market cap), which Duke rebuffed; though talks were preliminary, NextEra showed interest in a potential merger​reuters.com​reuters.com.",https://www.reuters.com/article/nextera-duke-takeover-idUSKBN26L03C
XOM,CVX,M&AInvolvement,Medium,The CEOs of ExxonMobil and Chevron held preliminary merger talks in early 2020 to explore combining the two oil giants – an unprecedented “mega merger” that ultimately did not move forward​theguardian.com​theguardian.com.,https://www.theguardian.com/business/2021/feb/01/exxonmobil-and-chevron-held-merger-talks-in-2020
KO,PEP,Competitor,High,Coca-Cola and PepsiCo are direct rivals in the soft drink market – both have spent decades and vast sums competing for global soda sales​reuters.com.,https://www.reuters.com/business/retail-consumer/coke-pepsi-boycott-over-gaza-lifts-muslim-countries-local-sodas-2024-09-04/
CVS,WBA,Competitor,High,"CVS Health and Walgreens Boots Alliance are fierce pharmacy competitors. For example, the DOJ filed similar opioid lawsuits against “Walgreens rival CVS” over unlawful prescriptions​reuters.com.",https://www.reuters.com/legal/government/walgreens-challenges-dea-restrictions-opioids-dispensing-2025-01-17/
HD,LOW,Competitor,High,Home Depot and Lowe’s are the top U.S. home improvement retailers. Lowe’s even “echoed rival Home Depot” in forecasting similar sales trends​reuters.com.,https://www.reuters.com/business/retail-consumer/lowes-forecasts-annual-comparable-sales-largely-below-estimates-2025-02-26/
WMT,AMZN,Competitor,High,"Walmart and Amazon.com are bitter retail rivals. Walmart’s success in low-cost groceries has given it an edge over “rivals such as Target…,” while Amazon’s strong e-commerce results often signal trends for competitors Walmart and Target​reuters.com​reuters.com.",https://www.reuters.com/business/retail-consumer/walmarts-low-price-promise-focus-after-amazons-warning-2024-08-02/
GS,MS,Competitor,High,Goldman Sachs and Morgan Stanley have a long-standing Wall Street rivalry. Morgan Stanley’s CEO even referred to Goldman as “Morgan Stanley’s traditional rival”​reuters.com in banking performance discussions.,https://www.reuters.com/business/finance/morgan-stanley-posts-higher-profit-ma-boom-2022-01-19/
BAC,JPM,Competitor,High,"Bank of America and JPMorgan Chase compete as two of the largest U.S. banks. BofA is expanding branches “bringing its footprint closer to rival JPMorgan Chase”, the nation’s biggest lender​reuters.com.",https://www.reuters.com/business/finance/bank-america-expand-four-us-states-closing-gap-with-jpmorgan-2023-06-27/
AMD,INTC,Competitor,High,"AMD and Intel are fierce chip competitors in PCs and servers. Intel has long dominated, but AMD – its “biggest rival in the server and PC market” – has steadily gained share​reuters.com.",https://www.reuters.com/technology/intels-new-chip-plans-could-turn-rival-amds-fortunes-analysts-2022-02-18/
GM,F,Competitor,High,"General Motors and Ford have been Detroit “crosstown” rivals for decades. In 2024, GM’s CEO prepped for earnings as “crosstown rival Ford” did the same, highlighting their ongoing competition​reuters.com.",https://www.reuters.com/business/autos-transportation/gm-ford-brace-investor-scrutiny-over-pricing-power-ev-losses-2024-10-21/
NFLX,DIS,Competitor,High,"Netflix and Disney now compete head-to-head in streaming. Disney’s Disney+ service put it in direct competition with Netflix, ending a prior content deal. Disney’s CEO even quit Apple’s board as Disney+ launched, underscoring the new rivalry​reuters.com.",https://www.reuters.com/business/at-long-last-dow-gets-a-taste-for-apple-idUSKBN0M21H0/
GOOGL,META,Competitor,High,"Google (Alphabet) and Meta (Facebook) dominate digital advertising as a duopoly. In 2017 they collectively took ~60% of U.S. online ad revenue​reuters.com, far outpacing smaller rivals and effectively competing as the “Big Two” for ad dollars.",https://www.reuters.com/technology/google-facebook-show-power-ad-duopoly-rivals-stumble-2017-07-28/
PLD,AMZN,Client→Provider,High,"Warehouse REIT Prologis counts Amazon as one of its largest tenants. Prologis “counts Amazon…as its biggest customers,” leasing massive fulfillment center space to the e-commerce giant​reuters.com.",https://www.reuters.com/business/prologis-reports-first-quarter-results-above-estimates-2025-04-16/
PLD,FDX,Client→Provider,High,"Prologis also names FedEx among its top warehouse clients. In fact, FedEx, UPS, Amazon and Home Depot are “its biggest customers,” renting extensive logistics facilities from Prologis​reuters.com.",https://www.reuters.com/business/prologis-reports-first-quarter-results-above-estimates-2025-04-16/
BA,FDX,Supplier→Buyer,High,"Boeing is a key supplier of cargo aircraft to FedEx. FedEx operates large fleets of Boeing 757, 767, and 777 freighters – the two companies have “a long-standing partnership,” with FedEx the largest operator of certain Boeing freighter models​aerospaceglobalnews.com.",https://aerospaceglobalnews.com/news/fedex-orders-24-boeing-freighters/
TSLA,PEP,Supplier→Buyer,High,"PepsiCo was the first customer for Tesla’s electric Semi trucks. Elon Musk confirmed PepsiCo “will get the first deliveries” of Tesla Semis, having reserved 100 units to cut fuel costs and emissions​reuters.com.",https://www.reuters.com/technology/musk-says-pepsico-take-delivery-tesla-semi-electric-trucks-dec-1-2022-10-07/
AMD,MSFT,Supplier→Buyer,High,"AMD supplies the custom CPUs/GPUs for Microsoft’s Xbox consoles. For example, AMD chips power Microsoft’s Xbox One S and newer Series consoles, reflecting a tight semi-custom supply relationship​reuters.com. (Xbox One S launched with AMD processors.)",https://www.reuters.com/article/us-amd-results-idUSKCN12K2KJ/
AAPL,GOOGL,StrategicPartner,High,Apple and Google have a lucrative deal making Google the default search on Apple devices. Google reportedly pays Apple about $20 billion per year for this privilege​reuters.com – a pact underpinning both firms’ profits (and now under antitrust scrutiny).,https://www.reuters.com/technology/google-antitrust-ruling-may-pose-20-billion-risk-apple-2024-08-06/
AAPL,GS,StrategicPartner,High,"Apple partnered with Goldman Sachs to launch the Apple Card in 2019. This collaboration – with Goldman as issuing bank and Mastercard as network – marked a new consumer finance venture for both, and was slated to run through 2029​reuters.com. (Goldman’s CEO later indicated the partnership may end early.)",https://www.reuters.com/business/finance/goldman-sachs-ceo-says-apple-card-partnership-may-end-before-2030-2025-01-15/
NFLX,MSFT,StrategicPartner,High,"Netflix chose Microsoft as its global advertising technology partner for Netflix’s new ad-supported plan. In 2022 Netflix “selected Microsoft as technology and sales partner” for the forthcoming cheaper tier​reuters.com, leveraging Microsoft’s ad platform to launch the service.",https://www.reuters.com/business/media-telecom/netflix-names-microsoft-partner-ad-supported-subscription-plan-2022-07-13/
ORCL,MSFT,StrategicPartner,High,"Oracle and Microsoft formed a cloud interoperability alliance. Since 2019, the two have a multi-cloud partnership (Oracle Cloud–Azure Interconnect) enabling customers to run enterprise workloads across both clouds, reflecting an unusual collaboration between erstwhile enterprise software rivals​reuters.com.",https://www.reuters.com/article/business/rivals-amd-intel-partner-to-take-on-nvidia-idUSKBN1D6216/
BA,LMT,StrategicPartner,High,"Boeing and Lockheed Martin are 50–50 partners in United Launch Alliance (ULA), a joint venture providing U.S. rocket launch services. Formed in 2006, ULA combines Boeing’s and Lockheed’s launch divisions into one entity – with profits and control split evenly​ulalaunch.com.",https://ulalaunch.com/about
JPM,AMZN,StrategicPartner,High,"JPMorgan Chase and Amazon have a long-running co-branded credit card alliance. Chase has issued Amazon’s Prime Rewards Visa for over 20 years – a “two decades-long commitment” that was recently extended, highlighting a deep integration of rewards and payments capabilities​media.chase.com​media.chase.com.",https://media.chase.com/news/chase-reaches-multi-year-co-brand-card-extension-with-amazon
UNH,WBA,StrategicPartner,High,"UnitedHealth Group (via OptumRx) and Walgreens have collaborated to integrate pharmacy and health services. For example, in 2016 “OptumRx and Walgreens are partnering to create a new pharmacy solution” combining Optum’s pharmacy benefits with Walgreens’ retail pharmacies​unitedhealthgroup.com.",https://www.unitedhealthgroup.com/newsroom/2016/0317optumrxwalgreens.html
DIS,NFLX,FormerRelationship,High,The Walt Disney Company had a long-running licensing deal with Netflix that benefited both – Disney earned an estimated $300 million annually by giving Netflix streaming rights to certain films. That relationship lasted nearly a decade before ending when Disney launched its own Disney+ service​reuters.com.,https://www.reuters.com/breakingviews/its-netflixs-world-rivals-just-stream-it-2023-05-24/
AAPL,INTC,FormerRelationship,High,"Apple relied on Intel as its exclusive Mac chip supplier from 2005 until 2020. Apple “has used Intel chips in its computers since 2005”​reuters.com, but has now phased out Intel in favor of Apple’s own silicon – marking the end of a 15-year supplier relationship.",https://www.reuters.com/article/technologyNews/idUSKCN1H91N5
FDX,AMZN,FormerRelationship,Medium,"FedEx and Amazon used to partner on shipping, but FedEx ended its Amazon delivery contracts in 2019 as Amazon built its in-house logistics. FedEx explicitly chose not to renew its Express and Ground deals – a dramatic “break up” enabling FedEx to pursue other e-commerce clients​supplychaindive.com.",https://www.supplychaindive.com/news/fedex-amazon-end-shipping-contract-ecommerce/568030/
ORCL,WMT,M&AInvolvement,Medium,"Oracle and Walmart jointly attempted to acquire a stake in TikTok’s U.S. operations in 2020 under U.S. government pressure. Oracle agreed to take 20% and Walmart was negotiating a stake (with a board seat) in a new TikTok Global – a deal blessed “in concept” by the White House​theguardian.com, though it ultimately stalled.",https://www.theguardian.com/technology/2020/sep/19/trump-tiktok-oracle-deal-china-walmart-national-security
XOM,CVX,M&AInvolvement,High,"In early 2020, the CEOs of ExxonMobil and Chevron held preliminary merger talks to explore combining the two largest U.S. oil companies​theguardian.com. The discussions advanced far enough to draft some legal documents​theguardian.com, though they were put on hold and not ongoing as of 2021.",https://www.theguardian.com/business/2021/feb/01/exxonmobil-and-chevron-held-merger-talks-in-2020
